,Ethane,Propane,nButane,Tc_NR,Pc_NR,Time,Tc_OPT,Pc_OPT,Time
0,0.0005730999497685392,0.7823154020532052,0.2171114979970263,384.7818603515625,4308952.0,9.692912340164185,0.0,0.0,74.95647382736206
1,0.006311034389739213,0.8148578786310637,0.17883108697919695,382.0739440917969,4319462.5,8.995248794555664,0.0,0.0,75.2331919670105
2,0.006683299775641796,0.7423295768188652,0.250987123405493,386.716064453125,4319840.5,9.497483968734741,0.0,0.0,79.92147445678711
3,0.007082775634646132,0.13552611708223034,0.8573911072831236,418.8662414550781,3954741.75,10.059911966323853,0.0,0.0,66.09743738174438
4,0.010393012289959468,0.5422274822365966,0.44737950547344413,398.2788391113281,4269711.0,8.903674840927124,0.0,0.0,51.5956449508667
5,0.011985122107921891,0.37852710276532797,0.6094877751267501,406.9195861816406,4175663.75,9.676841259002686,406.9220370457445,4175618.403073877,120.10516500473022
6,0.012541925054507429,0.7080653861610825,0.27939268878441026,388.2859191894531,4328883.0,9.374045848846436,0.0,0.0,74.34266209602356
7,0.01712088028829298,0.13714599820728,0.845733121504427,418.1225891113281,3989839.0,10.434950351715088,0.0,0.0,453.2681589126587
8,0.01712924588296797,0.950518708679851,0.032352045437180926,371.45733642578125,4295686.0,10.049726963043213,0.0,0.0,73.11227321624756
9,0.020028789102464056,0.7731385755032246,0.20683263539431126,383.3922119140625,4349093.5,10.326135396957397,0.0,0.0,71.48965978622437
10,0.0236798792828322,0.9109956641013522,0.06532445661581564,373.56591796875,4323548.5,9.104328870773315,373.5683315972089,4323524.859324824,146.60359954833984
11,0.02540345622606863,0.7061637614465551,0.26843278232737633,387.14263916015625,4357932.0,9.485231637954712,0.0,0.0,69.78388977050781
12,0.03147306580794416,0.36819756675073134,0.6003293674413245,405.9168395996094,4228516.5,9.175708770751953,405.9202718432987,4228440.827438116,124.48398613929749
13,0.032269932850938016,0.2434943067660604,0.7242357603830015,412.100830078125,4134971.75,10.08836841583252,0.0,0.0,244.1758108139038
14,0.033233913838926064,0.33331617097802363,0.6334499151830503,407.5707702636719,4208972.5,10.58468246459961,407.5734932748235,4208908.189550448,123.18297982215881
15,0.0369131729671494,0.47429219315951426,0.48879463387333627,399.7801818847656,4310268.0,9.403450727462769,0.0,0.0,65.41422319412231
16,0.04176981927006893,0.8037796275466459,0.1544505531832852,379.0565490722656,4386818.5,10.259321212768555,379.0650452844531,4386717.738508303,111.94861245155334
17,0.04822935180592447,0.6875795996880649,0.26419104850601066,386.0469055175781,4407218.0,10.280726432800293,0.0,0.0,67.39168000221252
18,0.048543832285814194,0.20442777203148485,0.747028395682701,412.7965393066406,4155044.25,10.37161898612976,412.79768308244815,4155007.656341143,104.03472971916199
19,0.05178354426181902,0.873005285494188,0.0752111702439931,373.08184814453125,4379279.0,10.439493417739868,0.0,0.0,62.031047344207764
20,0.05539908885026453,0.518229460686055,0.42637145046368047,395.66412353515625,4382836.5,9.834543704986572,0.0,0.0,68.68045473098755
21,0.05565690466264038,0.847173734598428,0.09716936073893168,374.4935607910156,4396060.0,10.228474140167236,0.0,0.0,80.14259362220764
22,0.060301274880774657,0.3048272719309816,0.6348714531882438,406.9118957519531,4273157.0,9.973002672195435,406.91573585997185,4273050.286136992,124.9800615310669
23,0.06981255811181805,0.6563768225335818,0.2738106193546001,385.8700866699219,4452958.0,9.952425956726074,0.0,0.0,63.78974723815918
24,0.07457558635704195,0.724430714645873,0.20099369899708508,380.91192626953125,4460849.5,9.232797622680664,380.9258540236484,4460627.713131268,98.40488791465759
25,0.07663591368015221,0.28364892398551933,0.6397151623343286,406.7153015136719,4309288.5,10.472975730895996,0.0,0.0,65.2980728149414
26,0.08167991394510304,0.28632058019715073,0.6319995058577463,406.1761779785156,4327199.5,9.758215188980103,0.0,0.0,59.23152756690979
27,0.08345863068349504,0.05591647763304394,0.8606248916834611,417.2960205078125,4137063.5,9.637047290802002,0.0,0.0,63.98906087875366
28,0.08418566791184698,0.4403821213381934,0.4754322107499597,397.5693054199219,4428249.5,9.129250288009644,0.0,0.0,71.8920624256134
29,0.08444181139810236,0.7484239577109141,0.16713423089098353,378.2125549316406,4474483.0,9.823701620101929,0.0,0.0,64.84213328361511
30,0.08714704354952661,0.4333994223041836,0.4794535341462897,397.70538330078125,4433316.5,9.6841299533844,0.0,0.0,68.07083058357239
31,0.09390543298779892,0.34960219310578655,0.5564923739064145,401.7988586425781,4407271.0,9.316356658935547,0.0,0.0,65.77599263191223
32,0.10021685713933602,0.23768333690592808,0.6620998059547358,407.22564697265625,4350406.5,9.943103551864624,407.23074867732515,4350236.105528917,143.39762210845947
33,0.1023621012641769,0.5257713650817964,0.3718665336540266,390.8465270996094,4509187.0,10.055285692214966,0.0,0.0,60.90389585494995
34,0.10368249778243012,0.8244213242058888,0.07189617801168116,370.5768127441406,4471528.0,9.59136700630188,0.0,0.0,66.5133068561554
35,0.11130636581582685,0.6700913277081098,0.21860230647606343,380.6532287597656,4539168.5,9.403314113616943,380.67279104985215,4538801.750696436,108.82123732566833
36,0.1174008944767347,0.28502083173344755,0.5975782737898178,403.3384094238281,4438451.0,10.571968793869019,0.0,0.0,66.601402759552
37,0.12226134586988208,0.818826202847786,0.05891245128233201,368.7684631347656,4496173.0,9.172883749008179,368.7744996627292,4496043.328849856,122.37126088142395
38,0.12915401215988448,0.11777611322130231,0.7530698746188131,411.0569763183594,4348933.5,10.289819478988647,0.0,0.0,69.17758393287659
