,Carbon Dioxide,Nitrogen,Tc_NR,Pc_NR,Time,Tc_OPT,Pc_OPT,Time
0,0.0036693422759428575,0.9963306577240572,127.64025115966797,3544129.0,4.999627590179443,127.64025143716418,3544128.628787987,259.198037147522
1,0.0048477771655785935,0.9951522228344214,128.07249450683594,3589857.75,4.892333745956421,128.07249752246472,3589857.2550324835,289.42826199531555
2,0.014140523653353769,0.9858594763466463,130.88406372070312,3915030.0,4.984529972076416,130.88377443407728,3914992.9943409152,130.8174569606781
3,0.02209057765372555,0.9779094223462744,132.25999450683594,4101246.75,4.744577646255493,132.25777052036517,4100917.058526203,165.9503722190857
4,0.024000309827262957,0.975999690172737,132.40383911132812,4122949.5,4.785109281539917,132.40049311447746,4122433.53856574,134.02059936523438
5,0.026720362014418717,0.9732796379855814,132.4468994140625,4129634.0,4.769705533981323,132.44110048453766,4128681.8359592482,107.66732335090637
6,0.034119696322352074,0.9658803036776479,131.11984252929688,3881354.75,5.2609429359436035,131.09468852180933,3876298.6584542133,103.30291676521301
7,0.04274026365988732,0.9572597363401126,,,5.185061693191528,0.0,0.0,73.75341868400574
8,0.05084946676236008,0.94915053323764,,,4.867969989776611,0.0,0.0,71.41838550567627
9,0.05191753329341259,0.9480824667065872,,,4.754801273345947,0.0,0.0,70.4893388748169
10,0.052654760611961865,0.9473452393880382,,,5.129778623580933,0.0,0.0,68.8120288848877
11,0.0552780056266654,0.9447219943733346,,,4.935163974761963,0.0,0.0,69.88827872276306
12,0.05747714565566061,0.9425228543443394,,,5.317363739013672,0.0,0.0,63.00854730606079
13,0.06231247386952662,0.9376875261304735,,,5.98766827583313,0.0,0.0,66.77569246292114
14,0.06583755524887126,0.9341624447511288,,,4.652026653289795,0.0,0.0,65.13655424118042
15,0.08203530612945563,0.9179646938705444,3.9697036743164062,-403272256.0,5.3238441944122314,0.0,0.0,61.349844217300415
16,0.08340858854653421,0.9165914114534658,,,5.47294545173645,0.0,0.0,66.75145363807678
17,0.08450966214849168,0.9154903378515084,,,5.078562259674072,0.0,0.0,61.85654020309448
18,0.09940017124448099,0.900599828755519,,,5.248163223266602,0.0,0.0,58.06997561454773
19,0.10529949647219941,0.8947005035278006,,,4.918598651885986,0.0,0.0,59.16578435897827
20,0.11889068481160682,0.8811093151883931,0.0,0.0,0.0,0.0,0.0,57.60473942756653
21,0.11914586146686924,0.8808541385331308,,,5.2731664180755615,0.0,0.0,58.66150641441345
22,0.12956661538998476,0.8704333846100152,,,5.595726728439331,0.0,0.0,52.13816952705383
23,0.1296757060461865,0.8703242939538135,,,5.592759370803833,0.0,0.0,53.10477423667908
24,0.1345524630503016,0.8654475369496984,,,4.922424077987671,0.0,0.0,51.69283676147461
25,0.13508954613898114,0.864910453861019,,,5.7817065715789795,0.0,0.0,52.903777837753296
26,0.13842449533136375,0.8615755046686363,,,5.207085371017456,0.0,0.0,52.000203371047974
27,0.15148558973147935,0.8485144102685207,,,5.122314214706421,0.0,0.0,36.25111150741577
28,0.1644643102353364,0.8355356897646636,,,5.708193778991699,0.0,0.0,31.41451072692871
29,0.16687619537351914,0.833123804626481,,,5.204349517822266,0.0,0.0,36.51757502555847
30,0.17795547686152466,0.8220445231384754,,,5.2190632820129395,0.0,0.0,37.02464413642883
31,0.17858977288830089,0.8214102271116992,0.0,0.0,0.0,0.0,0.0,34.00438070297241
32,0.18043229623383944,0.8195677037661605,,,5.733094215393066,0.0,0.0,33.31331777572632
33,0.1804575354658371,0.8195424645341628,0.0,0.0,0.0,0.0,0.0,36.219706535339355
34,0.18051600584856006,0.8194839941514398,,,5.613028049468994,0.0,0.0,33.45501136779785
35,0.18755641362451902,0.812443586375481,,,5.639373779296875,0.0,0.0,32.19699239730835
36,0.1887201603865749,0.8112798396134252,0.0,0.0,0.0,0.0,0.0,34.310819149017334
37,0.2088598125720021,0.791140187427998,,,5.617467880249023,0.0,0.0,32.99630093574524
38,0.2166492439910021,0.783350756008998,,,5.809621334075928,0.0,0.0,30.122567892074585
39,0.22460667689590116,0.7753933231040989,,,5.015444993972778,0.0,0.0,29.818738222122192
40,0.23847251602271083,0.7615274839772893,0.0,0.0,0.0,0.0,0.0,25.065385103225708
41,0.24095318958279066,0.7590468104172093,,,1.5318892002105713,0.0,0.0,24.774072647094727
42,0.24185069906188772,0.7581493009381124,,,1.9156389236450195,0.0,0.0,26.18605637550354
43,0.2553400229687064,0.7446599770312937,,,1.4943950176239014,0.0,0.0,25.352845430374146
44,0.2670047592696757,0.7329952407303243,,,1.3783683776855469,0.0,0.0,25.25987672805786
45,0.276546251897603,0.7234537481023969,0.0,0.0,0.0,0.0,0.0,23.897541761398315
46,0.2786455204008669,0.7213544795991331,,,1.317260503768921,0.0,0.0,24.175743341445923
47,0.2786669690719134,0.7213330309280865,,,1.3241565227508545,0.0,0.0,26.110960483551025
48,0.28164743993704866,0.7183525600629512,,,1.3851158618927002,0.0,0.0,27.555933713912964
49,0.2941214355586275,0.7058785644413725,0.0,0.0,0.0,0.0,0.0,25.952799797058105
50,0.29510485703589656,0.7048951429641035,,,1.3793864250183105,0.0,0.0,25.32542324066162
51,0.3038176410861778,0.6961823589138222,0.0,0.0,0.0,0.0,0.0,25.075234413146973
52,0.3043338386122977,0.6956661613877022,0.0,0.0,0.0,0.0,0.0,26.852715015411377
53,0.30453119079000845,0.6954688092099917,0.0,0.0,0.0,0.0,0.0,22.982594966888428
54,0.31851014536365074,0.6814898546363493,,,1.1719567775726318,0.0,0.0,24.07543706893921
