,Ethane,Propane,nButane,nPentane,Tc_NR,Pc_NR,Time,Tc_OPT,Pc_OPT,Time
0,0.00202319965020482,0.06407506303178177,0.7324943356375135,0.20140740168049975,433.47808837890625,3868048.5,16.127643823623657,0.0,0.0,70.93144536018372
1,0.002677412425539052,0.628844878256636,0.36798190453084834,0.0004958047869765308,394.0359191894531,4285488.5,16.14357089996338,394.03609171393686,4285487.077784874,113.52569675445557
2,0.0028896092283402456,0.5308785044601156,0.007790424423283851,0.45844146188826035,428.9730529785156,4426253.0,16.9482204914093,429.0518639921855,4424717.161165621,106.06970953941345
3,0.003607576386159082,0.3861205573787632,0.019064199859385348,0.5912076663756923,441.4813537597656,4198934.0,17.186261415481567,441.5106876670939,4198203.112532958,110.1383409500122
4,0.004511504934916063,0.7552802269357205,0.022577322242195812,0.21763094588716766,402.8719482421875,4581677.5,16.29824662208557,0.0,0.0,82.14608335494995
5,0.005797331022448841,0.21970027071553494,0.07751281449984891,0.6969895837621674,451.7801818847656,3914846.25,16.444704294204712,451.786048447303,3914675.319573626,113.03325533866882
6,0.010795920297321245,0.8927918534510381,0.04009117192619889,0.056321054325441544,381.30572509765625,4425077.5,16.89715552330017,381.34465155234477,4425082.500577975,121.76823949813843
7,0.011265434858263325,0.19255953532067852,0.7471056256813545,0.049069404139703565,419.0328369140625,4036412.0,16.223741054534912,0.0,0.0,73.70527362823486
8,0.014207529544574188,0.5639059565358812,0.03371384521708665,0.388172668702458,422.7503662109375,4511010.5,16.435641288757324,422.8541678583179,4509144.529025197,133.5586724281311
9,0.015325133560111812,0.7973787561866006,0.14533211984374425,0.04196399040954331,385.8454895019531,4411074.0,15.562075853347778,385.8710205628998,4411004.723852046,129.31571984291077
10,0.016162429941101956,0.8320637705395993,0.08284151805063016,0.06893228146866862,385.7904357910156,4459836.0,15.818167209625244,385.8405297332143,4459716.568862539,116.76781010627747
11,0.017477890023886746,0.6356576269296668,0.2151200981057205,0.1317443849407259,402.1420593261719,4469052.0,15.304709434509277,402.20866214523875,4468397.990685631,111.67743921279907
12,0.017912757989143126,0.19904870887298498,0.4511269278005211,0.3319116053373507,434.36151123046875,4074207.25,15.785442113876343,0.0,0.0,69.95577907562256
