,Methane,Ethane,Propane,Tc_NR,Pc_NR,Time,Tc_OPT,Pc_OPT,Time
0,0.003365286723433334,0.4657084794708728,0.5309262338056938,345.3594055175781,4937777.5,9.065650701522827,345.3715657018683,4937504.456999894,131.66919136047363
1,0.004002729379387308,0.009996164479950139,0.9860011061406626,369.1326599121094,4292409.0,9.67026424407959,0.0,0.0,64.61991930007935
2,0.007075312956358619,0.869304796811833,0.12361989023180826,315.9416809082031,5055706.0,8.83502745628357,0.0,0.0,77.38182759284973
3,0.009452915156660496,0.858637167692559,0.1319099171507804,316.5191650390625,5074169.0,8.870915174484253,0.0,0.0,71.13887166976929
4,0.009730080801104863,0.9895739366724396,0.0006959825264555691,304.81134033203125,4915480.0,9.101890563964844,0.0,0.0,67.56107139587402
5,0.01401128314340526,0.15772620681835603,0.8282625100382386,361.5098571777344,4604376.5,9.056508302688599,361.51036896774474,4604350.832952075,123.22020030021667
6,0.015497591656852073,0.15924334437654908,0.8252590639665988,361.3278503417969,4617342.0,8.831718921661377,361.32842441697125,4617312.471407544,140.94640374183655
7,0.021595076624394978,0.1985400706975486,0.7798648526780564,358.8827819824219,4721424.5,8.84263825416565,0.0,0.0,70.61679482460022
8,0.02340085970175779,0.16703984863263402,0.8095592916656081,360.3633728027344,4686057.5,8.900046348571777,0.0,0.0,63.307584285736084
9,0.033187031765280206,0.7475583800869814,0.21925458814773843,322.4893493652344,5245302.0,8.62432599067688,0.0,0.0,71.37267804145813
10,0.0465529598171142,0.8080145694096148,0.1454324707732711,315.7682800292969,5276067.5,8.83090591430664,315.80539262690866,5275051.900758233,118.92298984527588
11,0.05123654747683456,0.5470927186921166,0.4016707338310488,335.2652893066406,5320831.5,8.81008768081665,0.0,0.0,67.36287760734558
12,0.052287361590874756,0.018194540529172038,0.9295180978799532,365.6468505859375,4651753.0,9.479957342147827,0.0,0.0,68.97385358810425
13,0.05318109818382747,0.618351062933174,0.3284678388829986,329.947021484375,5361466.5,8.773652791976929,0.0,0.0,66.53991174697876
14,0.05465234290062882,0.2539353869739179,0.6914122701254534,353.2855224609375,5042128.5,9.100620985031128,353.29379474929755,5041636.1957530305,102.37443685531616
15,0.06159247025179641,0.6431041969155095,0.29530333283269417,327.10113525390625,5414859.5,8.910597562789917,0.0,0.0,66.34077906608582
16,0.06813199766978875,0.8033553164810482,0.12851268584916312,313.1654357910156,5373096.0,9.048310279846191,0.0,0.0,69.05272626876831
17,0.07655797718352214,0.8790532331732807,0.04438878964319713,305.0019226074219,5297028.0,9.07464337348938,0.0,0.0,67.453360080719
18,0.07844745953270324,0.37930348634203653,0.5422490541252601,343.6440734863281,5370699.0,8.915864706039429,0.0,0.0,69.17261743545532
19,0.08223791310708266,0.2651284766685384,0.6526336102243789,350.2827453613281,5261261.0,9.081577062606812,350.3002880341058,5260122.019352734,144.91560101509094
20,0.08488671247860609,0.32157453805053604,0.5935387494708578,346.646240234375,5352640.5,9.087172031402588,0.0,0.0,63.78700065612793
21,0.09603963586556893,0.7046005525952114,0.19935981153921978,317.7765197753906,5584413.0,8.641233921051025,0.0,0.0,67.38657236099243
22,0.11099867076373676,0.783868800953173,0.10513252828309025,308.65301513671875,5566834.5,8.82816457748413,0.0,0.0,71.7219922542572
23,0.11167090338598297,0.6365949620844933,0.25173413452952365,321.326904296875,5700649.5,8.992385625839233,0.0,0.0,69.75224447250366
24,0.11280922475846132,0.7626366900998323,0.12455408514170635,310.3255615234375,5603371.5,9.015044212341309,0.0,0.0,66.53739142417908
25,0.11362268685343593,0.1118692454407968,0.7745080677057673,356.3500061035156,5273283.5,9.48498272895813,0.0,0.0,67.36282157897949
26,0.1182166814093232,0.06440068261575602,0.8173826359749208,358.5562438964844,5230736.5,9.240597009658813,358.5636355884364,5230030.183745686,92.07137370109558
27,0.12098080561841563,0.4452741082774699,0.43374508610411444,334.77947998046875,5727958.0,8.850862503051758,0.0,0.0,58.83606433868408
28,0.12579939471210713,0.7210229103219847,0.1531776949659082,312.16619873046875,5708718.5,9.070696115493774,0.0,0.0,66.91048884391785
29,0.12988112422036147,0.2089959023303725,0.6611229734492661,349.3699035644531,5547001.5,8.880342721939087,0.0,0.0,66.88071870803833
30,0.13221615923535085,0.6930813399394596,0.17470250082518954,313.71881103515625,5767553.0,8.916086673736572,0.0,0.0,64.79664444923401
31,0.13227674068239278,0.14922056109111376,0.7185026982264935,352.689208984375,5478186.5,9.04759931564331,0.0,0.0,73.77538824081421
32,0.13261185002437711,0.8396714211264961,0.027716728849126883,299.8544006347656,5525800.0,9.219208717346191,299.87250773609804,5524800.215115353,103.83542656898499
33,0.13405083542308788,0.6012040085557859,0.2647451560211263,321.2784118652344,5838222.0,8.846852779388428,0.0,0.0,64.52813506126404
34,0.13823418236966967,0.42994609761726105,0.43181972001306934,333.94085693359375,5838866.5,8.929800510406494,0.0,0.0,69.75041961669922
35,0.1411503736255213,0.8549237446482267,0.003925881726252034,296.8504638671875,5504142.5,9.24240779876709,0.0,0.0,66.33421897888184
36,0.14307302511493095,0.7843154983756293,0.0726114765094397,303.6269226074219,5674291.0,9.25512170791626,0.0,0.0,66.74406957626343
37,0.14372662573366413,0.3273265284047425,0.5289468458615935,340.49114990234375,5796412.0,9.1098792552948,0.0,0.0,66.36246275901794
38,0.15241151480525675,0.2859304753390894,0.5616580098556538,342.3559875488281,5818654.5,9.079918384552002,342.4264474366333,5813639.089067839,89.3602192401886
39,0.15735141298401384,0.3912529027146583,0.45139568430132776,334.56683349609375,5950310.5,9.058205604553223,0.0,0.0,68.51517987251282
