,Nitrogen,Methane,Propane,Tc_NR,Pc_NR,Time,Tc_OPT,Pc_OPT,Time
0,0.0006307786435522082,0.6465809962387539,0.3527882251176938,294.5341796875,9784647.0,9.902448892593384,298.44576864516876,9536088.036027998,89.25844860076904
1,0.0009762608041165371,0.30971926350492396,0.6893044756909597,345.1566467285156,6773751.0,8.87496304512024,345.3418626195244,6755086.940716371,93.90625357627869
2,0.0011916817589230182,0.932895240416724,0.06591307782435314,214.1044464111328,6758429.5,8.982853412628174,0.0,0.0,73.85272407531738
3,0.0031546160748631537,0.5973874158795183,0.39945796804561856,304.0254821777344,9503199.0,9.05022382736206,306.9305719231816,9288610.999261782,94.30872917175293
4,0.012088343800243824,0.030190180608072915,0.9577214755916833,367.31622314453125,4616419.0,9.855998277664185,0.0,0.0,66.83205246925354
5,0.013477929877161595,0.2172692404232862,0.7692528296995522,352.9657287597656,6147364.5,10.106198072433472,353.02400934672465,6140719.054446287,89.91390109062195
6,0.015553088625559484,0.5879117204962783,0.39653519087816236,303.37969970703125,9686740.0,9.085021495819092,306.4517512887615,9446857.561661374,92.60034656524658
7,0.01579092893932273,0.911578363575371,0.07263070748530619,215.2346649169922,7051457.0,9.507051944732666,221.8683514732964,7351312.62731554,104.8731017112732
8,0.020892363891914005,0.01400323715715956,0.9651043989509265,367.90777587890625,4612587.5,9.663578510284424,0.0,0.0,66.03451609611511
9,0.03020971059270405,0.13075139492045035,0.8390388944868455,359.02685546875,5663562.5,9.69344973564148,359.04249180163646,5661407.829746529,105.57394170761108
10,0.031191676451784493,0.6186716324370631,0.3501366911111523,293.5927429199219,10224585.0,9.0107262134552,297.931674553245,9904011.283610601,98.26670670509338
11,0.03448204265404763,0.950069638187069,0.015448319158883317,195.83938598632812,5307829.0,9.967896461486816,0.0,0.0,68.6902973651886
12,0.037879309775202576,0.9086079544348064,0.053512735789991224,208.19227600097656,6607311.0,9.707721471786499,213.38926082403148,6862156.941963006,89.52137732505798
13,0.040290969469238304,0.670853900788204,0.28885512974255784,278.8238830566406,10596151.0,9.557755708694458,285.1546392466977,10220693.831925455,88.2971785068512
14,0.040610714327261065,0.847183106668325,0.11220617900441411,225.75559997558594,8405256.0,9.825432062149048,235.60515565018375,8640559.354055852,85.78436088562012
15,0.04075596333318104,0.040094898498412135,0.9191491381684069,365.0943298339844,5079251.0,9.116387605667114,365.0956879104388,5078996.03992679,110.04295611381531
16,0.044156071553890446,0.030740889926815097,0.9251030385192944,365.5489501953125,5053352.5,9.655036449432373,365.5500553470285,5053133.679298356,140.50986409187317
17,0.04473306300972136,0.6822405157125858,0.2730264212776927,274.5649719238281,10671113.0,9.122950077056885,281.52325868332383,10287223.802735083,94.66510963439941
