,C30+,C25-C29,C20-C24,C16-C19,C13-C14-C15,C10-C11-C12,C7-C8-C9,C6,n-C5-i-C5,n-C4-i-C4,C3,C2,C1-CO2-N2,Tc_NR,Pc_NR,Vc_NR
0,0.0001067611673892,0.1011193419122147,0.026007984202795,0.1354359864188898,0.0093831618903335,0.064357946539656,0.0267493956266366,0.0582825188926767,0.0206678507711174,0.2438854673657652,0.1452352258742057,0.0268215954068875,0.1419467639314323,682.5055541992188,8098470.0,0.0004710205830633
1,0.000969669156134,0.0757685210382783,0.0938128248847689,0.0458367570599738,0.0029483515976277,0.072738769907677,0.1862656602205922,0.0758272111469792,0.0671221795265472,0.3360410337349114,0.0342469130419211,0.002748872322608,0.0056732363619808,668.158447265625,6038514.0,0.0005038620438426
2,0.001135832714426,0.0695803417490458,0.0061779244062684,0.0609356659803844,0.1823491170368766,0.0330760419068787,0.136119859491467,0.0303286405515694,0.0452400091328539,0.0511115631632698,0.0078677066313308,0.0946230363783259,0.2814542608573025,667.4440307617188,8756339.0,0.0004350341623649
3,0.0021249401309015,0.0234917296662675,0.0923435670822202,0.0757317546308999,0.0750672564739493,0.0501750758458116,0.0858876077727652,0.0991188184911128,0.1362282045398662,0.1327815835286922,0.1117325460378195,0.0406655762952989,0.0746513395043949,653.9129028320312,6796227.0,0.0004620181862264
4,0.0022096058361538,0.0045433737096372,0.079006100035708,0.0207000100442844,0.074445822543719,0.0220435980735152,0.1649169380985154,0.2127496993967239,0.051281972934676,0.1675721193005236,0.0818258446250888,0.0584904126704808,0.0602145027309732,613.291259765625,7109808.0,0.0003849518252536
5,0.0025878497104819,0.1767067577105153,0.0004485582962183,0.0220208885705488,0.0160236555059259,0.2570962259634375,0.3358845352430976,0.0134261762181588,0.0108921539014586,0.0421415960693575,0.0018231282556233,0.1171204833789471,0.003827991176229,697.0878295898438,4877071.0,0.0006212125299498
6,0.0028818761915462,0.1340903405601179,0.1086065604779883,0.0013254274199481,0.1920917952490942,0.0816020964024585,0.1460614924939416,0.0350936030001605,0.0093402213879166,0.0083162530279411,0.2144876887924051,0.0101093532318903,0.0559932917645911,714.4470825195312,4903304.5,0.0006776017835363
7,0.0034581429114353,0.0006587062908268,0.0929007250577904,0.0057257137877032,0.1292331935516576,0.0049957546819014,0.0637038905038733,0.0792967998140528,0.1930960017802274,0.1660208887812963,0.0269592563921222,0.1166616058892605,0.1172893205578523,621.8403930664062,8421273.0,0.0003741349501069
8,0.00365260152784,0.1632299633426242,0.063072340846773,0.1231023966911409,0.0558222158040014,0.1812186052413428,0.0755768816906775,0.0473832745169465,0.0317477185220092,0.045512218020371,0.064189101662967,0.1144673865344979,0.0310252955988081,722.5827026367188,4568850.0,0.000723362492863
9,0.0044576624687803,0.0328315998026688,0.0211170993034602,0.1869779068768784,0.1063760113139797,0.1985082401280836,0.1661904778778729,0.0390048574466597,0.0319365634508326,0.0555913361899227,0.0143705943244775,5.2773982126608384e-05,0.1425848768342563,672.963623046875,4840558.0,0.0005908602033741
10,0.0073309157911413,0.0362762358230807,0.1329694086177384,0.0173877221502033,0.0372802204127863,0.0326637106606768,0.1612568598857671,0.0035713410000844,0.112789265478,0.3065388058394555,0.0288265713678321,0.0552192975793066,0.0678896453939272,663.110107421875,7179520.0,0.0004679321718867
11,0.0076536875230702,0.5231616806611121,0.0178632838044828,0.0231607791902858,0.0396643008033955,0.0509923265918721,0.0089408555226085,0.0422449674265476,0.0261684496114632,0.1692731279294669,0.0239493679629545,0.0275244287952181,0.0394027441775222,785.6470336914062,2983460.5,0.0011420008959248
12,0.0101328435333841,0.0098406723404022,0.093369552585835,0.0771161250775294,0.090921474673836,0.0593464707286358,0.0625756583561639,0.0755882709451712,0.1180877800862846,0.0358301894318654,0.0746082686984468,0.1560723065663308,0.1365103869761141,659.5169677734375,7742860.0,0.0004557721549645
13,0.0107792973356544,0.0243846016641272,0.0243341672546766,0.0415991321285016,0.2913496735196222,0.02045750381418,0.025132744533787,0.0305346371388257,0.0736392261294753,0.1124401125072793,0.1088390680979137,0.0363407419542582,0.2001690939216982,655.683837890625,7368537.0,0.0004640081897377
14,0.011226696105354,0.1591418870078715,0.1493981294747588,0.0755477653221097,0.0471291614395243,0.2229169424024742,0.1175323982395631,0.0200108858305742,0.10968391101138,0.0359809354487862,0.0224300381176569,0.0160901459521319,0.0129111036478146,731.2628173828125,3440328.5,0.000848883180879
15,0.0120597477838705,0.0601140386029012,0.0050669795149046,0.3144893239320233,0.0275850128807335,0.1360132860991146,0.0844284492602861,0.0090315996397394,0.1105784508415738,0.0834432675224507,0.0316162648279256,0.0953225872778577,0.0302509918166185,693.5025024414062,4521931.0,0.0006605113158002
16,0.0122711929154232,0.085348913380225,0.0424897072021106,0.0207777198598275,0.0653363993179035,0.0497376450604818,0.1021848476361661,0.0211361089595458,0.0517335567195711,0.066030524203098,0.2090406570875771,0.1493442304038977,0.124568497254172,670.1763305664062,9356340.0,0.0004263303708285
17,0.0125058149356168,0.1019733951641513,0.0533942668234106,0.0644904808066714,0.0073730918526867,0.0378998364585571,0.0975172081380547,0.0322088837556193,0.0337859210391738,0.2274812182260607,0.0191630264188797,0.0401850564120758,0.2720217999690413,692.9957275390625,9205418.0,0.000467995472718
18,0.0125760955754191,0.0020167977878024,0.0403355579471892,0.0268932969291869,0.2329169577289221,0.0960233187890153,0.0965814099432925,0.0315413754165362,0.0575915734079734,0.1247912095285663,0.02000486380426,0.0433223820031426,0.2154051611386931,642.89208984375,6978520.0,0.0004594817874021
19,0.0128392733948477,0.0063605418321351,0.0879200996300766,0.0690170848865557,0.0381593984469893,0.0224797573049219,0.0332540440090092,0.0870998675645898,0.2063843971922457,0.2090932694778139,0.0293741491354387,0.024609647797666,0.1734084693277098,639.2464599609375,8500969.0,0.000404402060667
20,0.0129061597327628,0.0381046914453399,0.0117402418259676,0.009805619832822,0.0276635084070298,0.1427438503322907,0.0511969954540589,0.2307234749396292,0.1355195659252844,0.1069990072504267,0.0736150843734087,0.0701944034539698,0.0887873970270089,606.4691162109375,7764846.0,0.0003670272126328
21,0.0138461168439956,0.1591977866511839,0.047126689899128,0.0282374121875553,0.0039630624758727,0.0009719566961832,0.090726251467456,0.0787308071043448,0.1121832042679635,0.0969682389750567,0.1286908832139641,0.0184355091379307,0.2209220810793652,710.971923828125,8470900.0,0.0005189479561522
22,0.0141779158252889,0.0627105170530627,0.1317055690226593,0.0284224897890731,0.0738213231232648,0.0507410039926902,0.0261487227631135,0.2502149374847024,0.0021577135937381,0.1226249762476385,0.1991246784958528,0.0086754929839915,0.0294746596249237,688.2477416992188,5990384.0,0.0005633937544189
