,CO2,CH4,C2,C3,C4,C5,C6,C7+(1),C7+(2),C7+(3),C7+(4),C7+(5),Tc_NR,Pc_NR,Vc_NR
0,4.2621202779240425e-05,0.0367480731121828,0.0310732347985308,0.0950893619865059,0.0352374994870273,0.1650014245910872,0.0367470076328857,0.051762375360761,0.1657698418139482,0.013124852975558,0.040907882154501,0.3284958248842322,895.7479248046875,6570825.0,0.0007229318725876
1,0.0008865414584225,0.064930047514153,0.0011666565518954,0.0990741219785909,0.0227864677341854,0.1585079169105893,0.3492817845384033,0.1089200382545461,0.0122710224988626,0.0173747983528665,0.0369814225045851,0.1278191817028992,753.3724975585938,12583364.0,0.0003609110135585
2,0.0013405133639684,0.0108765494759528,0.0248903137018405,0.239369367595696,0.0205453606008371,0.0124775860435039,0.0199676065361259,0.1158404152563817,0.0160103512676512,0.0820515449386661,0.0631113050052165,0.3935190862141595,922.5992431640624,5506504.5,0.0008490482578054
3,0.0019302917553661,0.2053897983589371,0.0201526053130928,0.2194980626836556,0.0449527417082924,0.1054626225798336,0.0037542852636771,0.0198783655453669,0.2311452682531551,0.0505193970885156,0.0573067156032109,0.0400098458468965,713.103759765625,11936090.0,0.0003650333092082
4,0.0020980523597043,0.0542628310033826,0.0146833427330608,0.0188424756756445,0.0112429287276354,0.0379625386585821,0.0181238288678101,0.0309314317311781,0.1185423240801902,0.1292927296919241,0.2611740636553296,0.3028434528155578,896.3651733398438,3471955.5,0.0010152504546567
5,0.0027093369608655,0.0307776847380431,0.0278327723500158,0.0144248991869835,0.1098101898789433,0.1464816775418017,0.0095537164242575,0.1451244603315666,0.1441407015331745,0.1237348457786088,0.2075572562282241,0.0378524590475152,773.6220092773438,5203423.0,0.0006474674446508
6,0.0034663991665839,0.1719953279530699,0.0395481614268391,0.0070655923179704,0.113427827542387,0.1807177081145291,0.074965328844187,0.0054126127770397,0.2823657490170733,0.0376251645965895,0.016229074295076,0.0671810539486543,710.6409301757812,10983292.0,0.0003665020922198
7,0.0035481938340257,0.0261409869136217,0.0574928968757231,0.0423993489909503,0.2233402078502448,0.0055342237428404,0.1351186651182898,0.1226318394235624,0.0193918064479345,0.2290590129419208,0.0154235789639539,0.1199192388969318,780.6878662109375,8310988.0,0.0004919028724543
8,0.0036356331240265,0.1073766739466382,0.014965790350929,0.2176650603184088,0.0011734171712917,0.0359478089618418,0.142364704402398,0.0788668808780842,0.2354038650810186,0.0137997101305491,0.0904031083753022,0.0583973472595114,736.4581298828125,9378351.0,0.0004257260588929
9,0.0047559070899774,0.0136035113924646,0.2571177014441079,0.0407042688797134,0.1109151729063364,0.0001299268456731,0.1020532591701003,0.0927886501291055,0.0552093382774653,0.0106130375410662,0.2349284084357652,0.0771808178882243,802.568115234375,8752064.0,0.0005273762508295
10,0.0052724547143882,0.070243285232121,0.0480571169404742,0.0873745391093125,0.0099428573425645,0.074276399455857,0.1204370487413227,0.1009498322434501,0.0583867390125493,0.3234250755151578,0.0518222914527957,0.0498123602400064,758.6028442382812,6042632.0,0.0005836531054228
11,0.0056145061000243,0.0071631820413376,0.0080275081378328,0.0538316169568631,0.1748982792028144,0.0222478590675219,0.0037432186725165,0.228459941139319,0.0906213010322636,0.0744242583720482,0.2175911033321449,0.1133772259453131,816.4401245117188,5483062.0,0.0006710352608934
12,0.0070137050599192,0.1824484601603092,0.1047373527378493,0.0304802963674225,0.2600676959076894,0.0301583537072042,0.0329244512560574,0.2590297909157875,0.0303503700964404,0.0372808606401928,0.0191275897895944,0.0063810733615332,592.6262817382812,12242364.0,0.0002498150861356
13,0.0074389801947484,0.0250140629521109,0.0146115208259285,0.2595957826204394,0.0292481388330519,0.1339635627878763,0.0125882370726673,0.1227028663609301,0.0927473743737636,0.0405418538066332,0.0946627334061518,0.1668848867656981,825.9366455078125,9016633.0,0.000525033858139
14,0.0079690981709339,0.0631216534184188,0.0346443529794842,0.0027172553281917,0.097681153037668,0.2524402796932374,0.2277544641851212,0.0909172095954504,0.0617947681433567,0.1084468201409311,0.034572520711411,0.0179404245957952,655.3324584960938,8405391.0,0.0003567953244782
15,0.0088510728138842,0.0007673368365287,0.0588953031912352,0.0086761743426505,0.0756992429511549,0.4337415236455492,0.0101379177072536,0.0109109881978671,0.065516388288786,0.0553385026823048,0.1098198459809087,0.1616457033618765,820.3014526367188,8691838.0,0.0005271465051919
16,0.0125162036826781,0.0229694792782346,0.0262552911106841,0.0532479276102793,0.0845481662036952,0.015542514993405,0.3687712273594045,0.0101431894817555,0.0820386339033057,0.0828945939099071,0.229815007220599,0.0112577652460512,750.0330200195312,6137482.0,0.0005716796731576
17,0.0129524431637655,0.0622756512438687,0.0549241170216564,0.0777181183365836,0.0301452046198513,0.1123010861834031,0.0463222044174559,0.172144958685585,0.1232015123815199,0.1161489777344753,0.102338913720389,0.0895268124914458,780.1021118164062,7433682.0,0.0005303038051351
18,0.0129576879182126,0.0486067684964653,0.1162610403931037,0.0455306909650812,0.0340493606165248,0.4516583040714964,0.0170869127991753,0.0332860933279695,0.0013177218424434,0.1492164273225921,0.0759034804436142,0.0141255118033211,686.2130737304688,10091190.0,0.0003673389728646
19,0.0137972797943662,0.0402148139129935,0.0189098249363176,0.0783693477762458,0.0528742446304879,0.0647343033400145,0.0382978716770881,0.0513135733714173,0.1196738633369526,0.111007425208008,0.1985614029957173,0.2122460490203908,864.5695190429688,5124019.0,0.0007873604190535
