,CO2,CH4,C2,C3,C4,C5,C6,C7+(1),C7+(2),C7+(3),C7+(4),C7+(5),Tc_NR,Vc_NR,Pc_NR
34,0.002894393,0.002161533,0.015736581,0.163278506,0.064928526,0.017591443,0.106170036,0.035645064,0.098173275,0.282184643,0.15944099,0.05179501,783.7676392,0.000694004,4882950
35,0.002943359,0.100931591,0.378060445,0.203329097,0.032312899,0.012261705,0.014968478,0.091378561,0.061197575,0.011965639,0.090364428,0.000286224,638.9276123,0.000243127,17745798
36,0.002949159,0.136230485,0.033925528,0.203200843,0.016863943,0.077150998,0.319175397,0.055458306,0.101077978,0.015793988,0.031494176,0.006679201,589.5465088,0.000265227,10775442
37,0.002999466,0.338336006,0.042203768,0.002764085,0.017576186,0.032289051,0.009215902,0.186186752,0.033183779,0.093295795,0.072760788,0.169188422,848.0044556,0.000512196,10942119
38,0.003017883,0.169596661,0.005705594,0.060779871,0.074028376,0.025655136,0.015265344,0.189018986,0.071016328,0.092071755,0.0664351,0.227408967,864.1502686,0.000624264,7836924
39,0.003138824,0.142847881,0.053579505,0.072187051,0.085195613,0.132200426,0.061178384,0.04835912,0.127112355,0.0064923,0.114510954,0.153197587,825.9510498,0.000501565,10161632
40,0.003141207,0.032205834,0.027289415,0.110624203,0.048059269,0.16035639,0.324329516,0.037953448,0.037719754,0.000127947,0.159818021,0.058374998,740.6243286,0.000407857,9962652
41,0.003151076,0.034796818,0.199351497,0.071729377,0.047900219,0.039178542,0.267725613,0.012073679,0.051732146,0.132865859,0.024780281,0.114714892,767.7590332,0.000403302,11695139
42,0.003622726,0.04788316,0.160268627,0.025804865,0.046073233,0.091586059,0.012339344,0.089348306,0.131202952,0.215170041,0.148272354,0.028428332,765.3348389,0.000619685,5887080
43,0.003654989,0.256269702,0.000633989,0.019966964,0.01072681,0.052648179,0.009662647,0.075745877,0.028981795,0.224809573,0.088786246,0.228113229,874.734375,0.000712387,6815520.5
44,0.003701349,0.0218593,0.016802604,0.220185712,0.247922743,0.039453973,0.038941976,0.236022046,0.088180981,0.034492781,0.018953559,0.033482976,631.8739624,0.000283702,10385752
45,0.003743093,0.125515083,0.062694809,0.104148927,0.216904481,0.010633607,0.090593636,0.104298593,0.235912604,0.00172063,0.002992347,0.04084219,640.5188599,0.000285676,11839236
46,0.003771735,0.065589226,0.099736808,0.103572512,0.013694602,0.067528959,0.164702032,0.296433432,0.004159124,0.035948182,0.117285923,0.027577464,706.7011719,0.00038316,9521012
47,0.00399475,0.053164531,0.176556445,0.078086365,0.077757329,0.067344529,0.332459171,0.139436754,0.002775975,0.055548772,0.007232198,0.005643181,559.9854736,0.000250859,9308056
48,0.004179269,0.162870214,0.017623609,0.026176619,0.030097397,0.159339956,0.052125291,0.054463225,0.043656195,0.199640467,0.167326653,0.082501107,804.2954102,0.0006114,6919474
49,0.004299513,0.302314387,0.201223781,0.075910488,0.143881075,0.008360549,0.003248711,0.035652222,0.015410395,0.029837845,0.010731439,0.169129596,846.8828735,0.000338063,21000496
50,0.004343164,0.12651646,0.050637222,0.175062462,0.038789262,0.036842623,0.199297122,0.017204332,0.02002522,0.105474266,0.165905702,0.059902165,777.0998535,0.000473862,9749625
51,0.004346922,0.046138873,0.048167933,0.053539925,0.084079403,0.06586827,0.119292986,0.021493936,0.033002319,0.348290739,0.071452198,0.104326498,800.2058105,0.000643062,5872384
52,0.004667059,0.053649646,0.00532656,0.071574468,0.179092857,0.142519713,0.067880022,0.062287632,0.104945027,0.193951317,0.039914077,0.074191622,750.0636597,0.000473857,7990233
53,0.004754774,0.294336549,0.030366963,0.079129065,0.022472197,0.051437952,0.2326669,0.008399852,0.037672459,0.181186139,0.006680427,0.050896725,709.6799316,0.000328146,14393873
54,0.004816132,0.018277637,0.209398009,0.335181423,0.009997325,0.016195861,0.012751207,0.044739763,0.190903996,0.013519775,0.050451647,0.093767225,751.0533447,0.000353838,13993974
55,0.004826564,0.283902632,0.025426905,0.091923926,0.000722479,0.142459947,0.02459971,0.000277582,0.338123243,0.012036922,0.075628848,7.12E-05,689.187439,0.000428133,9062780
56,0.005043471,0.022293339,0.045821883,0.469336456,0.121261334,0.031293516,0.060773045,0.041846386,0.003720735,0.120324073,0.013552246,0.064733515,683.5999146,0.000271042,16706874
57,0.005085219,0.026937411,0.256863604,0.007076952,0.12012235,0.387850501,0.007300781,0.040020611,0.018994243,0.031844272,0.001136158,0.096767898,684.060791,0.000242173,20361190
58,0.005221799,0.157060446,0.044546721,0.028570286,0.081571761,0.111828499,0.275569416,0.192599407,0.016279597,0.003968772,0.0378814,0.044901897,627.2391357,0.000246368,14195260
59,0.005453568,0.022556316,0.095888707,0.055155434,0.139494216,0.298476141,0.109704109,0.042117372,0.120574322,0.016049352,0.029177528,0.065352935,665.5495605,0.000288455,12764292
60,0.005499514,0.282941761,0.051869171,0.035701157,0.080354343,0.071673198,0.137950152,0.136009664,0.111195251,0.044278106,0.040718106,0.001809577,638.5531006,0.000312121,11667250
61,0.00577683,0.029529017,0.24891909,0.000789667,0.086238139,0.006355293,0.041658144,0.195742155,0.023044435,0.02341183,0.295948688,0.042586713,796.4394531,0.000587179,7238584
62,0.005790188,0.17197686,0.103196145,0.171060449,0.044626116,0.090654203,0.12904591,0.109702347,0.009950511,0.034988614,0.098412318,0.030596338,692.0888062,0.000292897,15566362
63,0.005953624,0.039241548,0.384287666,0.006433811,0.001905727,0.01396064,0.280223968,0.005316018,0.019091115,0.017284592,0.097339848,0.128961443,804.3592529,0.000393026,14343657
64,0.005967702,0.041274424,0.011241182,0.06527188,0.105046601,0.046628881,0.064399421,0.018756436,0.122719042,0.11546156,0.323366971,0.079865898,822.161499,0.00078158,4637033
65,0.005995812,0.084979154,0.005559482,0.041884136,0.197118736,0.117223729,0.078979008,0.107411616,0.107628273,0.023820336,0.100862209,0.128537508,796.5806885,0.000474828,9584186
66,0.006063973,0.009471844,0.172767525,0.00110226,0.17495161,0.117853156,0.238999258,0.010537358,0.068231287,0.019855891,0.10419812,0.07596772,738.637085,0.000370105,11880307
67,0.006121743,0.111275727,0.21777165,0.024277601,0.185315495,0.038294187,0.139884387,0.018903001,0.059035416,0.112117362,0.081994288,0.005009142,683.1589355,0.000351847,11516621
68,0.006132717,0.075158072,0.098600863,0.115963622,0.011481945,0.114916784,0.081763288,0.012503802,0.063470484,0.157131396,0.23871805,0.024158978,780.0368652,0.000615016,6543875
69,0.006289635,0.071579732,0.112993599,0.210555726,0.035108231,0.207448738,0.0513668,0.100765243,0.077181146,0.082147335,0.021575692,0.022988122,638.1182861,0.000284071,12196888
70,0.006400095,0.160839122,0.080010029,0.075462257,0.029384951,0.161557078,0.015401991,0.023788273,0.011901738,0.095844074,0.102544473,0.236865918,881.385376,0.000623951,8687305
71,0.0065217,0.057440152,0.049737706,0.014018192,0.178791242,0.150773791,0.06342743,0.041960183,0.046941769,0.052609259,0.042016648,0.295761928,889.8848267,0.000646864,7958355
72,0.006537655,0.091085612,0.188706859,0.055144216,0.053351022,0.001029643,0.279831519,0.011517698,0.052961466,0.064969476,0.180410251,0.014454583,736.7340088,0.000439765,9694597
73,0.006644652,0.221956069,0.047378189,0.243184447,0.012306483,0.080146584,0.06197677,0.006643355,0.154026573,0.009566182,0.028819021,0.127351676,784.2208862,0.000347095,16773277
74,0.006657814,0.070269187,0.32560425,0.139964849,0.003788507,0.016637532,0.115593794,0.088480319,0.114645123,0.033812721,0.028983935,0.055561968,680.4124756,0.000270598,16886610
75,0.00679411,0.032900917,0.012884432,0.116042244,0.165098628,0.00968529,0.03762054,0.028549416,0.252330567,0.273111488,0.038827519,0.026154848,736.9307251,0.000617167,5100662
76,0.006801431,0.164710758,0.066253667,0.115058519,0.119144759,0.128633006,0.038371637,0.088502541,0.171611682,0.070362928,0.012795839,0.017753233,649.8071899,0.000319895,11041643
77,0.006823944,0.12251775,0.116300125,0.08368577,0.052040564,0.043635569,0.020536998,0.033645108,0.216341461,0.226152257,0.055353415,0.02296704,737.6187744,0.000545481,6855373
78,0.006910458,0.094538712,0.025497159,0.221551966,0.055449785,0.055963337,0.04835021,0.294172761,0.001712185,0.082528075,0.021920881,0.091404471,735.1420898,0.000348442,12544394
79,0.006975558,0.052517645,0.014265391,0.167458595,0.042246333,0.089335994,0.326891502,0.081026221,0.043054453,0.062252512,0.05230461,0.061671186,695.5068359,0.000334609,11339756
80,0.007046548,0.029797554,0.084879037,0.11663096,0.120324416,0.088635026,0.165240121,0.033876007,0.257311223,0.041551168,0.029916829,0.02479111,667.3695679,0.000376468,8299533
81,0.00723885,0.066077694,0.103924235,0.080659837,0.046257731,0.070965045,0.013715289,0.088333062,0.118098919,0.173111528,0.19080684,0.04081097,781.3945313,0.000628232,6092972
82,0.007239719,0.229890691,0.031614883,0.017022401,0.123306236,0.125920609,0.086740766,0.060667307,0.023207095,0.040192276,0.136372076,0.117825941,813.7005615,0.000454652,11789987
83,0.007274815,0.057122169,0.000885724,0.15775541,0.254959903,0.040346422,0.005704861,0.002447196,0.047161724,0.224325784,0.127585258,0.074430734,787.953125,0.000555915,7573838
84,0.007384114,0.211067343,0.067599943,0.021082901,0.006290386,0.23064842,0.117865587,0.104861287,0.002855974,0.081633024,0.107512508,0.041198513,729.4594727,0.000364994,12480758
85,0.007415632,0.345028671,0.0750459,0.153363859,0.015483046,0.059097974,0.044856727,0.050837994,0.141055005,0.038583771,0.062926259,0.006305162,666.2680054,0.000288005,15773314
86,0.00741726,0.077444437,0.027000075,0.007148236,0.050961934,0.018725077,0.055052311,0.019206946,0.343224781,0.190891486,0.080308919,0.122618538,805.0332642,0.000700015,4893094
87,0.007441477,0.117574347,0.188884395,0.006457551,0.003762558,0.05618874,0.006643173,0.009436813,0.03713879,0.177529193,0.367290569,0.021652393,812.7017212,0.000771974,5274044
88,0.007480021,0.020063035,0.213626701,0.049633542,0.071905344,0.02994047,0.019547192,0.080965119,0.042660627,0.184076031,0.145477387,0.134624531,829.6258545,0.000626592,7090877
89,0.00750816,0.059782439,0.018503483,0.162628936,0.01813413,0.086303567,0.006428152,0.061504063,0.096883548,0.056155928,0.272339864,0.153827731,851.125,0.00073631,5730682
90,0.007555009,0.060721418,0.02800997,0.212048516,0.187384407,0.014730503,0.102908576,0.093823657,0.077503032,0.021323845,0.109920158,0.08407091,760.3378906,0.000396741,11602330
91,0.007558146,0.054892145,0.113821813,0.112885709,0.006355732,0.060375401,0.072487764,0.187638039,0.141684263,0.189109809,0.040759263,0.012431916,706.7316284,0.00050338,6514682
92,0.007562687,0.163750791,0.034418447,0.028023372,0.02515872,0.103740442,0.3087855,0.034171075,0.050055588,0.140681396,0.008250753,0.095401228,741.0631714,0.000374715,11982240
93,0.007588626,0.05170694,0.060085658,0.118238335,0.295166277,0.024881354,0.007631226,0.081223026,0.089387605,0.178931637,0.057432293,0.027727024,715.9951782,0.000430815,8739798
94,0.007596159,0.063571557,0.156910789,0.102946282,0.028552994,0.101311578,0.145438404,0.05410547,0.206197012,0.043748166,0.044368966,0.045252624,696.5848999,0.00036048,10537202
95,0.007639738,0.093226643,0.018780064,0.178365456,0.020467426,0.080371066,0.021700928,0.07358749,0.231247043,0.172813853,0.05367774,0.048122553,745.1872559,0.000520788,7021169
96,0.007722534,0.071923027,0.222468877,0.060832992,0.092069728,0.072319804,0.159041781,0.055916637,0.068584956,0.104380585,0.064402147,0.020336932,685.6786499,0.000344843,11452339
97,0.007795308,0.02374113,0.116770701,0.226260004,0.008263383,0.162218754,0.062877769,0.011749447,0.022681983,0.096636252,0.142053553,0.118951716,812.1860962,0.000502545,9728395
98,0.007848172,0.007919796,0.100264466,0.227409151,0.008937641,0.104399319,0.260261815,0.019275407,0.011463825,0.036649307,0.127934973,0.087636128,765.5161133,0.000400465,11695195
99,0.007992225,0.000524546,0.121166927,0.031420044,0.007879362,0.070692785,0.010945344,0.011994127,0.214843741,0.065429751,0.218441201,0.238669948,874.0950317,0.000850283,4566970
100,0.008048156,0.043607014,0.025424484,0.166114571,0.012580826,0.290680143,0.063220562,0.057913072,0.077485251,0.065664325,0.033079766,0.156181831,798.9746704,0.000439466,11025450
101,0.008111049,0.108750671,0.002213614,0.207862011,0.022059462,0.078018935,0.199225768,0.033626019,0.23634541,0.015178921,0.069607349,0.01900079,679.5186157,0.000379626,9128015
102,0.008355878,0.070163054,0.138761148,0.037054107,0.029119233,0.049590313,0.009795693,0.208185974,0.129332249,0.169559399,0.118660023,0.03142293,753.6799927,0.000564699,6402916
103,0.008356969,0.044396373,0.009745505,0.012040033,0.075677167,0.125145786,0.017180512,0.256104622,0.251915419,0.12161847,0.000920167,0.076898978,734.8977661,0.000495284,6159845
