Mixture No.,CO2,CH4,C2,C3,C4,C5,C6,C7+(1),C7+(2),C7+(3),C7+(4),C7+(5)
1,0.121556078,0.379468973,0.120906045,0.128456423,0.02660133,0.009350468,0.010900545,0.089554478,0.045502275,0.030251513,0.022351118,0.015100755
2,0.133343333,0.220988951,0.141542923,0.157692115,0.033048348,0.012349383,0.014899255,0.126243688,0.064246788,0.042747863,0.031548423,0.021348933
