,Methane,Ethane,Tc_NR,Pc_NR,Time,Tc_OPT,Pc_OPT,Time
0,0.00221913435632876,0.9977808656436713,305.1831970214844,4881346.5,4.9112708568573,0.0,0.0,62.2523980140686
1,0.00453314204910464,0.9954668579508954,305.0486755371094,4891488.0,5.22306752204895,0.0,0.0,67.87643694877625
2,0.016779896367301657,0.9832201036326984,304.3309631347656,4945226.5,5.329433917999268,0.0,0.0,64.34934425354004
3,0.03574526573384559,0.9642547342661545,303.19970703125,5028633.0,5.238301515579224,0.0,0.0,70.37448167800903
4,0.04016512045020996,0.95983487954979,302.93255615234375,5048098.5,5.198040246963501,0.0,0.0,63.05439019203186
5,0.04346523017970592,0.956534769820294,302.7322082519531,5062638.0,5.044254541397095,0.0,0.0,66.46230959892273
6,0.05079507508145102,0.949204924918549,302.2845153808594,5094947.5,5.079908609390259,0.0,0.0,65.73043584823608
7,0.05200927304361564,0.9479907269563843,302.2099914550781,5100301.5,5.2261412143707275,0.0,0.0,68.72765803337097
8,0.0825893140465322,0.9174106859534678,300.29827880859375,5235258.5,5.45289158821106,0.0,0.0,64.89863920211792
9,0.08307571822579324,0.9169242817742067,300.267333984375,5237406.0,5.240023851394653,300.267583643823,5237387.367571391,143.67434787750244
10,0.09001701190468908,0.909982988095311,299.8236389160156,5268052.0,5.31551718711853,0.0,0.0,69.59914183616638
11,0.09228330625838654,0.9077166937416135,299.6780090332031,5278057.5,5.542304515838623,299.6783974759453,5278029.2674748115,116.46570134162903
12,0.09313306304048467,0.9068669369595154,299.623291015625,5281809.0,5.262940883636475,0.0,0.0,69.83653569221497
13,0.09830541822502177,0.9016945817749782,299.28912353515625,5304641.0,5.630265235900879,299.28963822572246,5304604.795364939,135.85983419418335
14,0.09978510834244467,0.9002148916575553,299.1931457519531,5311172.0,5.695030450820923,0.0,0.0,65.37713289260864
15,0.10985952779266409,0.8901404722073359,298.5353088378906,5355624.0,5.286220073699951,0.0,0.0,65.97653198242188
16,0.11073260629787395,0.889267393702126,298.4779357910156,5359475.0,5.2562642097473145,0.0,0.0,64.51681780815125
17,0.11107399847168258,0.8889260015283175,298.4554748535156,5360980.5,4.685988426208496,0.0,0.0,64.35126757621765
18,0.11471275875001427,0.8852872412499857,298.2156066894531,5377027.5,5.505542516708374,0.0,0.0,66.00191402435303
19,0.1208218531162581,0.8791781468837419,297.8105773925781,5403956.0,5.63774299621582,297.81176102222696,5403875.6923172735,134.94132542610168
20,0.1260912301467862,0.8739087698532139,297.4588623046875,5427169.5,5.6926679611206055,0.0,0.0,67.62166929244995
21,0.13966384626872008,0.8603361537312799,296.5427551269531,5486887.0,5.530959844589233,296.5448908781338,5486745.857175935,111.24848818778992
22,0.13989207486733063,0.8601079251326694,296.5272216796875,5487890.0,4.968859910964966,296.52937377573943,5487748.071372267,108.18021845817566
23,0.1450754178663607,0.8549245821336394,296.17333984375,5510661.0,4.9656288623809814,296.1758420920532,5510497.622112457,115.89202928543091
24,0.14714616056827,0.85285383943173,296.0313720703125,5519752.0,4.747456312179565,296.0340045971412,5519579.363378022,111.01419115066528
25,0.15192100567022288,0.8480789943297771,295.70263671875,5540700.0,5.152238607406616,295.70563022015415,5540504.952839851,97.91621851921082
26,0.15507871541494805,0.8449212845850519,295.48419189453125,5554542.0,5.246478080749512,295.4874552490318,5554330.812431682,97.06543636322021
27,0.15691133276211772,0.8430886672378822,295.3570556640625,5562571.0,4.9822001457214355,295.36046279187576,5562349.939859696,96.76490950584412
28,0.16360170616960176,0.8363982938303982,294.8904724121094,5591852.5,5.159643888473511,294.8945180247515,5591593.128604628,105.68725085258484
29,0.1658226264241652,0.8341773735758349,294.7347717285156,5601562.0,5.229754686355591,294.73903112417577,5601288.755157113,103.47401571273804
30,0.1798594520576515,0.8201405479423485,293.74090576171875,5662788.0,5.364216566085815,293.7468374661465,5662415.037927743,101.00040483474731
31,0.18861465876271613,0.811385341237284,293.1124267578125,5700839.0,5.208434343338013,293.1195958763819,5700392.204249527,111.79451775550842
32,0.1943040536258513,0.8056959463741487,292.7004089355469,5725502.0,5.204471111297607,292.70849960195426,5725001.861478902,101.09812307357788
33,0.21070942019846484,0.789290579801535,291.49627685546875,5796300.0,5.26795506477356,291.50746689935005,5795621.187890407,94.30353140830994
34,0.2123422717076508,0.7876577282923491,291.3750915527344,5803319.0,4.9670422077178955,291.3866419469586,5802619.733738355,103.97853517532349
35,0.22768419271925644,0.7723158072807434,290.2245788574219,5868984.0,5.519190311431885,290.23986903475696,5868076.634391498,107.79647016525269
36,0.2309286750733246,0.7690713249266754,289.9784851074219,5882801.5,5.27585244178772,289.9946578590435,5881845.232283108,98.56324505805969
37,0.2316881117786861,0.7683118882213139,289.9207458496094,5886032.0,5.451803922653198,289.9371242181317,5885064.084164493,91.68284463882446
38,0.2406249359594638,0.7593750640405361,289.2370910644531,5923938.5,5.160553216934204,289.25615845347437,5922825.011137221,92.05043721199036
39,0.24901175874095255,0.7509882412590474,288.5885925292969,5959317.5,5.4377429485321045,288.61046363289375,5958054.088467844,94.18527340888977
40,0.27000772977859455,0.7299922702214054,286.9350891113281,6046960.5,1.5453417301177979,286.9653284860272,6045264.146782782,82.6563515663147
41,0.2751729704583027,0.7248270295416974,286.5216064453125,6068299.0,1.5686237812042236,286.5542294887719,6066482.338189643,81.6613667011261
42,0.27827156445176204,0.7217284355482381,286.27227783203125,6081053.5,1.560575246810913,286.30638957863164,6079162.705108136,75.03461146354675
