,Nitrogen,Methane,Ethane,Propane,Tc_NR,Pc_NR,Vc_NR
0,1.701578172013318e-08,0.14159110422982688,0.3174970445021605,0.540911834252231,341.3685302734375,5770343.0,0.00017447375284973532
1,1.0437032250644132e-07,0.4449314348863148,0.44190884461477964,0.11315961612858294,285.28277587890625,7373458.0,0.00012129869719501585
2,1.0850904051376488e-07,0.08095052502747264,0.5025577444863687,0.4164916219771181,335.1470642089844,5490428.0,0.0001724538888083771
3,2.8726688424483243e-06,0.6674285017112829,0.032156171734610904,0.3004124538852638,286.1012878417969,9733196.0,0.0001062685259967111
4,4.561267437339082e-06,0.21626121791665567,0.2609770687307183,0.5227571520851887,337.27703857421875,6290804.0,0.00016566527483519167
5,2.137734762454458e-05,0.13554381793595405,0.3381661534404222,0.5262686512759993,340.60955810546875,5746336.0,0.0001740930019877851
6,2.269060235891301e-05,0.49820031544239646,0.27828071590165415,0.22349627805359037,293.2554931640625,8165138.0,0.00011984392040176317
7,3.159458348168886e-05,0.18946340318675128,0.5958300353831476,0.21467496684661957,314.04595947265625,6140472.0,0.0001500971702625975
8,5.064583977273329e-05,0.47611815413927633,0.30566894169743564,0.2181622583235153,294.54705810546875,7997282.0,0.00012180814519524574
9,5.418207879728101e-05,0.5885266262979569,0.25442633144643106,0.15699286017681466,276.53363037109375,8373734.0,0.0001087064592866227
10,7.677542589895927e-05,0.27974966275255936,0.5024688201430125,0.21770474167852918,308.89324951171875,6702886.0,0.00014127277245279402
11,9.26341886501833e-05,0.007099713810476914,0.4939598763068559,0.4988477756940171,343.249755859375,4991321.0,0.00018525282212067395
12,0.00011297197449264442,0.26738713039090595,0.5609020898165442,0.17159780781805709,305.2510681152344,6549416.0,0.00014043303963262588
13,0.00012056730746405694,0.07508165756551628,0.6416537535669198,0.2831440215600998,325.5566711425781,5494584.0,0.00016507883265148848
14,0.0001371680293524882,0.04644279344882597,0.5164202614934928,0.4369997770283287,337.86151123046875,5271922.0,0.00017722422489896417
15,0.00019533407847743112,0.13347551282230705,0.357622457947776,0.5087066951514395,339.497314453125,5752174.0,0.00017309757822658867
16,0.00023664575677630586,0.36093041329017655,0.08719914188048818,0.5516337990725589,333.1296081542969,7350366.0,0.00015285145491361618
17,0.0002519923469115604,0.4270597432798853,0.2676526561437042,0.305035608229499,307.4958190917969,7858326.0,0.0001308653736487031
18,0.0005000228528345251,0.35252600730583916,0.46623603897788135,0.18073793086344495,300.2178039550781,7093862.0,0.00013239082181826234
19,0.0005688772840199007,0.25461425529968396,0.24819190322017176,0.4966249641961244,333.7420349121094,6594064.0,0.00015993654960766435
20,0.0006117125153845995,0.612264584417713,0.2581066676990269,0.12901703536787554,270.2240905761719,8281816.0,0.00010580231173662469
21,0.0006234738441478515,0.23922967356945113,0.3011759092172146,0.4589709433691865,331.5852355957031,6511306.0,0.0001590318133821711
22,0.0007721843439980673,0.17011474840103555,0.40561701661577587,0.42349605063919044,331.9610290527344,6061542.0,0.00016375561244785786
23,0.0007922834788699708,0.36082581692554744,0.3233319730509406,0.31504992654464214,312.8741455078125,7387210.0,0.0001380117901135236
24,0.0008306840600863248,0.183640161491142,0.4525707584816254,0.3629583959671463,326.7170104980469,6171540.0,0.00015865678142290562
25,0.0012739747183785623,0.16937995747025422,0.3691072862137889,0.4602387815975782,334.6662292480469,6041648.0,0.000166100770002231
26,0.001419872445911193,0.445497015175427,0.3004839830815004,0.2525991292971614,300.6440734863281,7909866.0,0.00012618614709936082
27,0.0015065703381885003,0.1411808912452175,0.6769188985168432,0.18039363989975093,313.642333984375,5843948.0,0.00015302286192309111
28,0.0015637217571326236,0.45923206397172917,0.328743836240952,0.21046037803018633,294.97113037109375,7884390.0,0.00012292189057916403
29,0.001645769117085918,0.05542268855132663,0.3064295051062199,0.6365020372253675,350.0835876464844,5141181.0,0.00018959188309963793
30,0.0016619002631238402,0.5346628000083711,0.22159745604709574,0.24207784368140942,291.9764099121094,8517890.0,0.00011674492270685732
31,0.002133009408744527,0.14273581974032068,0.2542409787486644,0.6008901921022703,345.1787414550781,5738456.0,0.00017816176114138216
32,0.0023922599712184666,0.36249333967461833,0.5338355405067152,0.10127885984744796,290.7419128417969,6924370.0,0.00012842736032325774
33,0.0024848141180419917,0.7396951710533374,0.1153198333620819,0.14250018146653864,255.5865020751953,8831566.0,9.384194709127769e-05
34,0.00251827608624278,0.5362662140856017,0.4341577042069537,0.02705780562120191,264.9934997558594,7186966.0,0.00011213302059331909
35,0.002607036406728646,0.40373716401251813,0.2465299240654837,0.3471258755152695,313.021484375,7772020.0,0.0001351753162452951
36,0.002710710232138392,0.2521816194099386,0.6766388311568939,0.06846883920102893,295.62774658203125,6247094.0,0.00013792824756819755
37,0.0027370510130757517,0.22664447067284008,0.22988775231875996,0.5407307259953241,338.0465087890625,6386914.0,0.0001654003863222897
38,0.002770048438526087,0.20106536459492377,0.07758590401314483,0.7185786829534053,350.6139221191406,5968531.0,0.00018056263797916472
39,0.0033163834503541914,0.06076592456612026,0.337957823955345,0.5979598680281806,347.5950012207031,5242588.0,0.0001860845513874665
40,0.004057926176901338,0.23105669475298685,0.7051126223964079,0.059772756673703874,296.1322326660156,6133172.0,0.00013948313426226377
41,0.004148594156456052,0.11083789343992939,0.6799086106637685,0.20510490173984594,317.289794921875,5726404.0,0.00015678792260587215
42,0.004397750090195465,0.4410649971104762,0.12893454300677706,0.4256027097925511,317.8763427734375,8151232.0,0.00013576718629337847
43,0.0048172202386456845,0.35540030565974984,0.33354561117671105,0.3062368629248934,312.1336975097656,7406872.0,0.0001374455459881574
44,0.004874850633871267,0.4623092568195091,0.3125542629364818,0.22026162961013798,295.4971618652344,7995056.0,0.00012250649160705507
45,0.005561649177627138,0.3055238464733183,0.5640255021375677,0.12488900221148676,297.45556640625,6738822.0,0.0001340973685728386
46,0.0060820924537523845,0.17653861721994815,0.2916380374117914,0.525741252914508,338.8601989746094,6103684.0,0.0001689589989837259
47,0.006516641188583288,0.19221443993919118,0.5503315259707824,0.25093739290144323,316.7327880859375,6279886.0,0.00015063003229442984
48,0.006745415328609812,0.16218669470955513,0.48616803381647483,0.3448998561453602,326.0589599609375,6118908.0,0.0001588277955306694
