,Carbon Dioxide,Nitrogen,Methane,Ethane,Propane,iButane,nButane,iPentane,nPentane,nHexane,nHeptane,Tc_NR,Pc_NR,Vc_NR
0,0.00033832325345009773,0.11284919304230448,0.027363614157100813,0.21919995766002515,0.06143680463447987,0.02932147362793594,0.006278632449888046,0.05657867796520747,0.3968803577929994,0.0827744747510165,0.00697849066559221,439.9012451171875,7013286.0,0.00024171026598196477
1,0.001092840876460643,0.04572752672370787,0.00434836495051217,0.12358746883333643,0.33348602440302055,0.12362068710673943,0.05045591446786185,0.018650398228684507,0.2266187085204353,0.020561982125747932,0.05185008376349351,426.3019104003906,5661621.0,0.00024444266455248
2,0.0015031360993298139,0.0320688476047611,0.19246510506876705,0.2626723273897734,0.013708153984108185,0.02696483473996799,0.12220387509470167,0.1370774883647926,0.08134030989227915,0.06716665551842253,0.06282926624309638,425.3200378417969,8277166.0,0.00020764664805028588
3,0.001633701988063475,0.32186857239341843,0.10388143844225808,0.03617565593813132,0.006122702392102235,0.045411567055350675,0.03142536738092379,0.3002789979170992,0.01866140372583062,0.021154603664580388,0.11338598910224168,445.6249694824219,12765170.0,0.00019393136608414352
4,0.0025800633520733354,0.23466576697251712,0.20097526084200346,0.08481995556818686,0.010100499865971573,0.09500421771365272,0.04979286836758828,0.11383314753041827,0.00393065125776782,0.20242592978565374,0.0018716387441668372,424.8321838378906,12921680.0,0.00017615919932723045
5,0.0027461771830231455,0.057510482225619816,0.14251355197910695,0.0151259924405349,0.06629881859016624,0.1584641602449946,0.3542036217408165,0.04669887324271322,0.001459103272023789,0.04187181369760399,0.11310740538339693,439.27410888671875,6758755.0,0.00024240622587967664
6,0.002862154965185467,0.04353992261538762,0.11439366093026702,0.4190777395529528,0.044792811094903386,0.07656910608277698,0.1249598837954881,0.05693959652250718,0.020546000841122125,0.026577505464150632,0.06974161813525867,399.4685363769531,8455340.0,0.00018159985484089702
7,0.0031471983252905765,0.05712580068804887,0.06673759228866491,0.19704063523963752,0.1007755853113559,0.019635481925939682,0.06806373278351345,0.030299246347428612,0.24696221605513405,0.007842259884734377,0.20237025115025195,459.3824157714844,6813724.0,0.0002587056078482419
8,0.004335555345677167,0.02431446642463162,0.1700784895565869,0.18489952220282843,0.10036364369932986,0.09126884488032605,0.044280906326520895,0.20910093459379286,0.020982885064554507,0.11158071811719524,0.038794033788556476,428.2873840332031,7343957.0,0.00022276233357843012
9,0.004911640114093555,0.15374764015670256,0.18872211820460397,0.10144833170037901,0.05719335551334712,0.15308670143514375,0.027313095012407244,0.03693009399209778,0.002326100150608454,0.24340363063470272,0.03091729308591388,435.361083984375,10447198.0,0.00020027111168019474
