,Methane,Ethane,nButane,Tc_NR,Pc_NR,Time,Tc_OPT,Pc_OPT,Time
0,0.00193675766599377,0.3966354598859021,0.6014277824481041,394.5572814941406,5169875.0,9.195295095443726,394.639656585982,5166667.988626253,99.76318407058716
1,0.006321644517553531,0.3312321909539625,0.662446164528484,400.19146728515625,4997756.0,9.302149057388306,400.23737925823343,4995733.385596391,101.46362280845642
2,0.01157380718629506,0.8996922432739561,0.08873394953974871,323.5044250488281,5490083.0,8.926032304763794,323.8124980658829,5490811.714373603,96.79232501983643
3,0.012897098470726653,0.6199742220281234,0.3671286795011499,367.94952392578125,5826411.5,8.9743971824646,368.35616906414305,5815686.4310260825,96.56864953041077
4,0.02269117193249946,0.07842578241765925,0.8988830456498411,418.6323547363281,4259759.5,8.901633739471436,0.0,0.0,67.23374342918396
5,0.023032617848376232,0.1321372789623884,0.8448301031892353,414.8315734863281,4454639.5,9.794541358947754,414.8346146142448,4454431.266471468,126.46895861625671
6,0.024249920850443342,0.5785866716164749,0.39716340753308177,371.5788269042969,5856994.5,8.963695764541626,371.9595519865538,5844838.933568459,122.48838067054749
7,0.02871843854308072,0.534035076983502,0.4372464844734172,376.455078125,5806299.0,9.011143684387207,376.77482055243615,5794655.791807778,137.58070349693298
8,0.030178747159203944,0.8718054222296178,0.09801583061117826,324.4035339355469,5643800.5,9.262889623641968,324.79159024312435,5642302.153125975,101.0082631111145
9,0.032269463924130826,0.939357146988858,0.028373389087011203,309.9261169433594,5239575.5,9.490619897842407,0.0,0.0,68.75119948387146
10,0.035784477863129036,0.70984350262101,0.25437201951586097,351.2080383300781,6056328.0,8.884965896606445,0.0,0.0,65.87419128417969
11,0.03859971193878235,0.5679873021196442,0.3934129859415733,370.7897033691406,5965996.0,9.16274881362915,371.2100313234841,5951136.919396684,107.00515413284302
12,0.04563066485524163,0.9190031146162075,0.03536622052855086,310.7142028808594,5358042.5,9.459169387817383,0.0,0.0,69.9991090297699
13,0.04729667465100745,0.7706365971791812,0.1820667281698114,338.9671936035156,6043218.5,9.016159534454346,339.6336381527978,6032408.5002201125,89.78450417518616
14,0.05201973194694943,0.5479962417576916,0.39998402629535906,371.34185791015625,6050624.5,9.315321207046509,0.0,0.0,70.63089442253113
15,0.05249961732732151,0.9436086475961465,0.0038917350765319543,303.114501953125,5137352.0,9.645143747329712,0.0,0.0,69.79749989509583
16,0.05636957537024749,0.5207726789627776,0.422857745666975,374.14935302734375,6035245.0,9.114269971847534,374.55359990795256,6018082.306536753,93.83472108840942
17,0.05927455052621644,0.7645595141489326,0.17616593532485098,337.4480895996094,6111831.5,9.680059671401978,338.15189922019584,6099107.061006818,93.60681557655334
18,0.06428329526021437,0.26681379978448655,0.6689029049552991,400.35894775390625,5334762.0,9.836318731307983,400.4284865600297,5330092.3625540435,97.41874527931213
19,0.06988288596226283,0.10272564156227099,0.8273914724754662,413.4620361328125,4777945.5,9.207700729370117,413.47057477191106,4777147.331274383,108.1290020942688
20,0.07220541060502439,0.2866974610297405,0.6410971283652351,397.71453857421875,5485839.0,9.344956636428833,397.81153644869863,5479344.827916436,86.73153114318848
21,0.07469445812924058,0.6976711618603172,0.22763438001044223,345.5675354003906,6316324.0,8.759387493133545,0.0,0.0,67.76956963539124
22,0.07728475150260472,0.7658708931428377,0.15684435535455746,333.22039794921875,6180728.0,9.168521642684937,333.95902652945364,6166298.811881416,89.72287106513977
23,0.07852833289728813,0.8590752321338795,0.06239643496883228,314.6918640136719,5724975.5,8.998502969741821,0.0,0.0,67.3184187412262
24,0.0840444014765618,0.6428823034575265,0.27307329506591177,352.5039367675781,6415989.5,8.987498998641968,0.0,0.0,71.75986361503601
25,0.0893976678328272,0.3560112860318851,0.5545910461352876,388.8345031738281,5902280.0,8.845236778259277,389.0558603721008,5888261.697519619,101.17139863967896
26,0.09065932549829113,0.15909736635371077,0.7502433081479981,407.2882080078125,5195220.5,9.187343835830688,407.32265964947845,5192205.30228715,101.42738056182861
27,0.09415052924993629,0.3015775841353138,0.6042718866147498,393.91925048828125,5764032.0,9.397486209869385,394.0754296767957,5753131.396409001,83.27906203269958
28,0.0942497799549562,0.670423860235215,0.2353263598098288,346.0994873046875,6470077.0,9.814569234848022,0.0,0.0,70.52552819252014
29,0.0997435408657886,0.4387316881223328,0.4615247710118784,378.0694885253906,6259989.5,8.791013956069946,378.49142321824684,6236079.334637426,89.35924553871155
30,0.10580871749627191,0.1990378279024151,0.695153454601313,402.4429931640625,5503193.0,9.403470039367676,402.51669080992576,5496966.110060364,99.38068532943726
31,0.10897608070538226,0.23216098543110308,0.6588629338635147,399.0849914550781,5662990.5,9.491434574127197,399.1927381172399,5654307.534874413,92.3336021900177
32,0.11584067076610112,0.33236507500535717,0.5517942542285418,388.1850891113281,6100043.5,9.614858150482178,388.45093057750285,6081434.202908095,93.26113986968994
33,0.11837446351838739,0.5805227750355785,0.3011027614460341,355.69793701171875,6677329.0,9.844180345535278,356.5842215631362,6638953.065863792,85.34122371673584
34,0.12906204355895376,0.400477045471996,0.4704609109690503,378.6090087890625,6456836.0,9.079364776611328,379.0817899650978,6426427.915274322,125.56620955467224
35,0.1313107828087696,0.7396368330655789,0.12905238412565154,325.3798828125,6442249.0,9.387073040008545,0.0,0.0,61.77647066116333
36,0.1326684105633788,0.362134005483602,0.5051975839530192,382.68939208984375,6378710.5,9.41971731185913,383.08505556700925,6351426.840258725,104.04893469810486
37,0.1340432959126685,0.6877494627594307,0.1782072413279007,334.52899169921875,6653932.0,8.685819864273071,0.0,0.0,65.81712293624878
