,Ethane,Propane,nButane,nPentane,nHexane,Tc_NR,Pc_NR,Time,Tc_OPT,Pc_OPT,Time
0,0.0021178727464271747,0.682454267816719,0.04057396279056505,0.27477297774175985,8.091890452881677e-05,410.84881591796875,4555422.5,25.134727716445923,410.8490187976894,4555421.694179207,110.63480401039124
1,0.00280146694071013,0.19480846195121782,0.19473202982861645,0.5297331224294137,0.07792491885004202,453.1424255371094,3938283.75,25.51741600036621,0.0,0.0,68.79943752288818
2,0.003341361393604889,0.020831130215111963,0.14501968859105024,0.46496682320203936,0.3658409965981937,479.7586975097656,3492277.0,23.965662956237793,0.0,0.0,75.77856159210205
3,0.0035802743206425677,0.0006185321688901189,0.6558035649375747,0.1441362995122698,0.19586132906062292,453.9502258300781,3836841.5,26.39109182357788,453.9808808398916,3836513.653291058,115.04691529273987
4,0.0053044873894315375,0.48487123492169654,0.15302927502858604,0.23689178088073168,0.11990322177955415,433.3202209472656,4504683.5,24.07725167274475,433.46330399103977,4502430.828476325,94.1587917804718
5,0.006909757839958545,0.1200856810953817,0.14924032558221678,0.003340723670381789,0.7204235118120612,488.9833068847656,3652596.75,25.201783180236816,0.0,0.0,55.94278025627136
6,0.007005312248142254,0.4226292391205351,0.07326966229118133,0.3005992412171078,0.19649654512303338,447.5058288574219,4412684.0,24.798584461212158,447.6342192805654,4409813.587504312,103.63928651809692
7,0.007127179400950099,0.46460296140835833,0.004597290060317075,0.15596616855606654,0.36770640057430787,457.1943054199219,4513727.0,23.9601993560791,0.0,0.0,60.21341586112976
8,0.007875509480954723,0.11933803799321759,0.15959921386847,0.4889080482630953,0.2242791903942624,466.9093017578125,3785008.75,24.53091526031494,0.0,0.0,77.4292242527008
9,0.008543913187943744,0.028184852657824427,0.21858180976188704,0.5318054971297581,0.21288392726258665,469.7174377441406,3621273.25,25.29738974571228,0.0,0.0,69.38843059539795
10,0.010032262251842934,0.12537024412694878,0.382702333208062,0.2911902788774561,0.19070488153569023,455.7489929199219,3964893.0,25.328362703323364,0.0,0.0,83.17964339256287
